"","B401","B402","B403","B405","B406","B407","B408","B409","B410","B411","B413","B414","B419","B421","B422","B423","B424","B425","B426","B427","B428","B429","B430","B431","B432","B433","B434","B435","B436","B437","B438","B439","B440","B442","B443","B444","B445","B446","B447","B448","B450","B451","B452","B454","B455","B457","B458","B459","B460","B461","B463","B464","B465","B467","B470","B471","B472","B473","B474","B477","B478","B479","B480","B481","B482","B483","B484","B485","B486","B487","B488","B489","B490","B492","B493","B494","B495","B498","B500","NEGCNTRL"
"8f1c33447623b5dfb896f2cba3b5b2c1",0,74,5,0,41,0,0,6,0,44,0,0,0,87,0,316,0,0,0,24,398,552,0,6,100,165,0,0,172,43,278,0,0,104,5,57,0,61,0,0,0,0,0,0,0,0,101,26,38,163,0,0,105,0,130,21,14,21,0,0,138,0,20,47,72,0,0,23,0,179,0,0,0,52,271,14,34,0,49,0
"0ddfbcdcf6976b3202cba8e7aefeff63",0,34,0,0,42,0,0,0,0,88,45,0,63,0,44,0,106,87,0,0,71,94,0,65,49,59,81,22,14,0,186,0,88,74,35,0,0,26,161,68,40,28,0,0,106,0,0,101,41,113,111,362,261,34,0,0,0,0,254,240,83,0,0,0,29,0,16,45,0,188,0,57,44,54,60,0,142,0,32,0
"d2d6de6894eb1f12a4d50c0f587d4212",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,152,0,1374,0,0,0,0,0,2,8,228,0,0,0,243,0,0,0,0,0,645,0,0,0,0,0,0,0,54,0,0,0,0,4,0,0,0,0,0,0,0,2,0,938,0,0,0,0,0,95,0,4,0,0,0,288,0,0
"ae3f368c71e652a146c454436a71bb0e",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3309,0,0,24,0,0,0,0,20,194,0,0,90,0,0,0,53,0,0,0,0,0,0,0,0,0,9,0,101,0,0,9,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,121,0,0,0,7,0,0,46,0,0,0
"9f1a3085cfb928294ed71f1ac03cca33",0,9,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,0,0,207,0,175,0,0,0,0,0,520,135,0,0,99,91,0,0,40,0,34,378,0,0,176,0,42,0,0,0,647,0,454,0,0,0,0,0,19,0,0,0,0,0,0,53,0,37,0,0,291,0,0,207,0,0,0,35,0,0,24
"fd2020a6628c4c7940ebb3f03afcbafd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2877,0,0,74,0,0,0,0,0,0,0,34,28,0,0,9,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,170,0,0,0,0,0,0,98,0,442,0,0,0,0,54,0,0,0,0,0,0,18,0,0,0
"fd20be4abdd32f7caeef99ab8b1458d2",0,1131,488,0,59,0,0,0,0,88,0,0,0,0,0,358,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,507,0,0,1000,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b5b091d674a9157536f162889f47cd7e",0,25,0,0,0,0,0,0,0,0,0,0,3602,0,0,20,0,0,0,0,0,24,0,0,0,0,0,0,0,8,17,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,212,0,0,0,0,33,0,0,10,0,0,0,0,0,0,3,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0
"db40e0ed6ba83b16f346466127240242",0,0,0,0,0,0,10,0,0,0,0,0,33,0,104,0,0,158,18,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a2cd36236493b71a9e1547a2494c1352",0,0,0,2,0,0,0,93,0,0,0,0,0,80,0,0,0,0,0,800,248,0,1276,0,0,0,0,0,139,0,0,0,52,0,0,66,20,0,0,0,0,0,20,0,0,0,728,0,0,0,12,0,0,0,0,0,0,0,0,0,333,0,0,36,0,15,0,0,0,0,0,41,0,0,0,20,0,7,0,0
"c1c59655a56be74b3801f94b48e185b8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,0,0,0,0,0,5,0,0,0,0,0,0,3319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b5b3dad5bac6f45016adf0e4e0ce94b4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,37,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f80700542f17643c0ce578aaf1b880db",0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,48,0,0,0,0,0,0,0,49,0,0,0,0,0,0,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,179,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0
"7dd353256d5e115a303380ebfc90dca2",0,360,50,0,0,0,0,0,93,0,0,0,0,0,0,117,0,0,0,0,0,44,0,228,0,68,0,0,0,139,29,0,0,0,146,0,0,0,0,59,553,0,0,298,0,39,0,0,31,127,0,544,0,0,168,0,0,358,0,0,0,0,23,0,0,0,38,0,0,82,0,0,331,0,0,0,0,0,0,29
"d35c9563bfb344148672fcf5e7650de8",0,16,0,0,3217,0,0,0,0,95,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,20,0,0,10,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f7e66c6a520ea4fe0e7df416850e987c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,183,0,0,0,0,0,0,0,12,228,0,103,0,287,0,0,55,51,0,719,6,0,57,0,0,0,0,42,182,5,3,0,0,0,0,0,0,0,0,0,0,0,1020,35,0,0,0,0,94,321,0,4,0,0,271,0,123
"e8413a69980c6c105d042ca9a3f8b07e",2,0,0,0,0,0,560,0,0,0,0,0,91,0,979,0,0,317,83,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492,0,57,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
"c095bdc560f2eaf1a04d1f78de6f76bb",10,15,0,4,4,0,0,0,0,6,0,0,0,89,0,48,5,0,0,28,398,0,177,159,50,35,0,0,247,0,0,21,123,0,369,65,49,0,18,145,11,21,22,0,0,113,133,14,13,0,48,49,147,0,18,6,52,4,0,0,150,0,5,58,0,26,104,10,0,0,0,79,73,388,92,30,0,0,24,146
"0bca11df69fa1db7c86a3699de4ea4f9",0,0,0,0,0,0,0,0,0,0,0,0,291,0,87,0,0,1600,172,0,0,0,0,0,0,0,0,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,0,186,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0
"3776e5ee3f4bae813fc0d05546f44088",0,0,0,0,0,0,11,0,0,0,0,0,297,0,63,0,0,1403,174,0,0,0,0,0,0,0,0,781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,0,154,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0
"c57751f72e420d69d2ae51e8f5a1f1a1",0,0,0,0,6,0,0,0,0,0,3848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34d7ada7379238fb02f539026ad14823",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8902084007bba5ed990dd896752422c4",0,3836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aec38fb41988587857b265b540a89a1d",0,0,0,0,0,0,0,8,4,0,0,0,0,175,0,0,0,0,0,27,813,319,182,0,5,0,10,0,428,21,196,22,117,67,0,120,45,54,0,0,0,0,25,0,0,0,207,0,0,93,67,0,0,0,0,0,0,0,0,0,287,0,0,131,59,35,0,0,0,136,0,65,0,30,22,27,17,7,0,0
"028e453a2ba4fc6db7540e3aefc7425b",0,0,0,0,0,0,395,0,0,0,0,0,47,0,643,0,0,250,41,0,0,203,0,0,0,0,0,154,33,46,147,0,0,54,0,0,0,36,0,0,0,0,0,0,607,0,34,0,0,185,0,0,0,0,0,0,0,0,3,360,63,59,0,0,42,0,0,0,0,376,20,0,0,0,0,0,0,0,0,0
"4c3d5c452b2c802cdc3bb3388ebde011",0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,400,59,0,0,0,0,6,0,47,258,671,17,119,0,285,13,0,38,12,0,237,9,0,48,0,0,0,71,321,44,0,0,0,0,0,0,0,0,0,0,0,0,17,212,76,0,0,113,0,218,46,0,0,0,0,325,0,14
"f3f508138e17635c6ecd4cad95ac4cba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,22,0,0,3376,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,21,0,0,0,22,0
"c16fd7697f2e290b6a13e3ef54e44aec",0,551,31,0,67,0,0,38,0,120,0,0,0,33,0,1238,0,0,0,286,74,0,0,0,0,219,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,0,91,0,0,0,0,0,251,0,0,206,0,0,142,0,42,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0
"8a4678ac603f9e807bd7f52586bf61d1",0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,103,46,0,0,22,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,3224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,178,0,0,0,0,0,0,6,0,0,0
"95be9a81a7174f0361a560d08a46d89e",0,0,0,0,128,0,0,0,0,0,194,0,0,0,0,0,0,137,873,0,0,369,0,0,0,0,0,0,0,0,0,0,0,505,0,360,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0
"4d30ce1dc8e2aa5d3cde81d15da49eae",0,1035,484,0,100,0,0,0,0,92,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,2,0,0,0,0,495,0,2,903,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4b88586ca77e14f3c26db07cb6fab21d",0,0,0,0,0,0,0,165,0,0,0,0,0,76,0,0,0,0,0,560,231,0,0,245,0,0,0,0,120,0,0,0,0,0,497,38,0,0,0,212,14,0,0,2,0,143,663,0,0,0,0,78,0,0,0,0,0,0,0,0,281,0,0,26,0,0,147,0,0,0,0,0,111,0,0,13,0,0,0,49
"960583af3c9a67320c3d9db9498f21e5",0,0,0,0,486,0,0,0,0,0,657,0,0,0,0,0,0,0,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887,0,617,0,0,0,0,365,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0
"3389e4a593132c54bfc9f3b96194e934",0,0,0,0,0,0,0,0,0,0,3633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e937fb424a8598085315cc13d6923a8e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,0,40,18,0,0,0,0,31,397,0,0,204,76,0,0,286,0,79,0,0,0,0,0,557,0,0,0,130,0,28,0,0,0,0,0,0,0,0,0,0,0,0,294,0,172,20,0,281,0,0,58,0,0,0,177,0,0,175
"662037c9957317676c89fa36f91f1225",0,771,308,0,53,0,3,0,0,61,0,0,0,0,0,224,0,0,0,0,0,0,106,70,0,100,0,0,0,0,0,23,68,0,146,0,43,0,0,55,5,0,35,0,0,46,0,0,46,0,108,9,0,0,365,0,0,648,0,0,0,0,18,0,0,29,49,0,0,0,0,185,27,0,0,0,0,25,0,5
"c50cbf2b58189c47ae967e41b099cebd",0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,261,35,66,0,0,0,0,18,60,189,158,28,37,0,62,0,0,29,72,0,62,26,0,250,0,0,0,98,916,63,40,0,0,0,0,0,0,0,0,0,0,0,0,36,101,0,0,131,0,383,35,34,136,0,0,38,37,63
"6d2dc0a124b7637a71db60ffd38548b5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3588,0,0,0,0
"5b581c415b483395fb788e52d4eda038",0,916,474,0,69,0,0,0,0,75,0,0,0,0,0,306,18,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,39,40,0,0,0,0,0,0,0,0,70,0,0,0,0,0,431,0,0,842,0,0,0,0,35,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0
"0d56cca85bffbf4e2f3c13788f003b05",0,0,0,0,533,0,0,0,0,0,471,0,0,0,0,0,0,0,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,932,0,606,0,0,0,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0
"93f56fdeb9f9d6df3ee8397dde727ed5",0,0,0,0,0,0,0,0,0,0,3304,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,27,0,0,0,0,0,60,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,18
"fad05158b135871e34ffdef087134070",0,35,0,0,238,0,0,0,0,669,0,0,0,102,0,113,0,0,0,0,0,0,0,84,0,183,0,0,0,0,0,0,0,0,121,0,0,0,0,503,0,0,0,0,0,88,0,806,309,0,0,35,0,0,39,0,0,0,0,0,0,0,91,30,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0
"94863cec5e239c36f82e86fda2e7fa36",0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,1097,194,0,0,0,99,0,0,0,0,0,71,0,0,0,0,0,0,0,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,481,0,0,0,0,0,25,0,0
"c900b0a975f040098f44857809ad6741",0,0,0,0,0,0,0,110,0,0,0,0,0,103,0,0,0,0,0,1173,355,0,0,0,0,0,0,0,170,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,1049,0,0,0,0,0,0,0,0,0,0,0,0,0,463,0,0,42,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
"eadd7fca39265880cfc7567dc8162bab",0,0,0,14,0,0,356,0,0,0,0,0,66,0,506,0,0,205,29,0,0,0,193,0,0,0,0,89,0,0,0,138,104,0,0,0,28,0,0,0,0,0,26,0,495,0,0,0,0,0,622,0,0,0,0,0,0,0,0,300,0,49,0,0,0,24,0,0,0,0,25,247,0,0,0,0,0,16,0,0
"c52f5fd2a94e272d310615620330892e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"6cb4bd83d6fa86291c446698e5c910d0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2c8ff290e07ffbe2d8b93830a060fca8",0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,38,546,0,0,0,0,0,0,0,0,55,0,0,0,0,41,0,0,0,0,0,0,0,0,0,283,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,152,0,0,464,88,0,0,0,0,1150,0,0,0,0,0,0,588,0,0
"79021d9fe2a3892bed4a77e172fbdf4b",0,0,0,0,0,0,0,0,0,0,0,0,3497,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"714ac20d9150e3e2fcf81edd56500613",31,0,0,0,0,0,0,0,0,0,89,64,0,0,0,0,17,0,126,0,0,0,0,0,251,0,30,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,119,0,0,0,0,370,116,0,108,170,0,14,0,0,46,0,0,0,0,0,274,38,0,162,0,0,800,541,0,0,0,132,0
"bdb06deed4ca1705f30469342ebef2cf",0,0,0,0,0,0,0,0,0,0,0,0,283,0,0,0,0,1399,191,0,0,0,0,0,0,0,0,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,0,205,0,0,0,0,0,0,0,0,84,0,0,0,0,0,21,0,0,262
"d63d9b57af6c4a2be762eebde5bc6b03",0,0,0,0,0,420,0,0,0,0,63,81,0,0,0,0,325,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,914,0,0,909,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,488,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0
"7be0e0fb13180ff4a5517349d4a63a0e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f1b435751e77c2aba3006bb820af6ba2",0,3,0,0,0,0,0,52,2,0,0,0,0,50,0,0,0,0,0,602,160,45,0,0,0,0,0,0,107,38,20,0,0,9,0,31,0,9,0,0,0,0,0,0,3,0,641,0,0,1347,0,0,0,0,0,0,0,0,0,0,256,0,0,32,15,0,0,0,0,46,0,0,0,0,0,15,0,0,0,0
"6882b598352b26fa29ae50cde317927d",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75715bb40efcd5f9a570d643d9b84428",0,23,0,0,0,0,0,92,0,0,0,0,0,105,0,16,0,0,0,915,332,0,0,0,0,12,0,0,186,0,2,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,973,52,0,73,0,0,0,0,17,27,0,0,0,0,392,0,0,70,0,0,0,62,0,31,0,0,0,0,0,23,0,0,13,0
"ebf94bd453150e45fee1c8f31a1e128d",0,0,0,0,0,228,0,0,0,0,455,218,0,0,0,0,236,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,544,0,0,412,0,0,0,0,0,0,0,0,0,0,0,634,0,0,0,0,288,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0
"80474a6a354efd76f66fd3584310ee7d",0,17,0,0,2291,0,0,0,3,40,0,0,0,0,0,15,0,0,0,0,0,41,0,0,0,66,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,145,0,0,0,0,15,0,0,9,0,0,0,0,212,0,367,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0
"023a53b581be0c5d782ce179de3f929c",0,0,0,0,0,0,0,0,0,0,868,348,0,0,0,0,144,0,0,0,0,0,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188,0,0,0,0,118,0,0,0,0,0,0,0,0,0,379,0,0,0,0,0,0,0,0,0,0,0
"fbcded24982fec7202ddf46b8c4532c1",0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,267,0,31,0,0,0,0,0,34,243,0,0,169,36,0,0,1277,0,0,0,0,0,0,0,0,0,22,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,0,0,0,0,148,0,0,0,7,0,0,535,0,0,0
"f8ad990638a89dfefd5ed56b1ab8bf7e",0,3451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34e799db6cd3283cb51b9c92889d6d2f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"14c2411358e2f2a37f6e966022dba86a",0,0,0,0,0,0,0,0,0,0,54,80,0,0,0,0,90,0,0,0,0,0,0,0,0,0,3044,0,0,0,0,0,0,0,0,0,0,0,29,0,0,4,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,55,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0
"d1ac5b663aec091d4b9919ffdf5a7a29",0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,81,0,0,0,0,0,0,49,325,366,68,178,0,0,27,271,0,0,29,0,18,21,0,0,0,0,0,156,303,0,0,0,0,0,0,0,0,0,0,0,0,0,310,27,0,0,0,280,0,115,0,0,0,0,101,13,0,0
"95fd9dcfaf6437a3a72bf2d28bf16429",0,0,0,0,0,0,0,103,0,0,0,0,0,73,0,0,0,0,0,750,258,155,0,0,0,0,0,0,154,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,744,0,0,721,0,0,0,0,0,0,0,0,0,0,309,0,0,51,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
"63b9e9bf8178e206a759183b31c14a2a",0,0,0,0,0,0,0,0,0,0,3394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"499eb0d14c4976a14d220f067bf96421",0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,111,1795,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,431,0,0,0,0,0,0,0,0,627,0,0,0,0,0,0,0,0,0
"a62de5b4fa341cf2cef85ac234f2834f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bb5fa2f1fe4fabd141c2b5ba02e1f3ce",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3358,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"f65d6e8b4cd3b60669bd208a0a41afe3",0,12,0,0,0,0,0,0,9,0,3,0,0,45,6,0,0,0,5,0,15,82,0,0,0,0,0,1,7,47,39,0,0,19,0,191,0,28,13,0,0,0,0,0,1,0,2,0,0,2698,0,0,0,0,0,0,0,0,0,3,6,13,0,1,23,0,0,0,0,74,0,0,0,14,0,7,20,0,0,0
"8c5a87ada0354cf3d66072be51c44a81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b8ca7082d83de988263c48d0999ea725",0,0,0,0,0,0,4,0,0,0,0,0,248,0,68,0,0,1183,175,0,0,0,0,0,0,0,0,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,0,149,0,0,0,0,0,0,0,0,60,0,0,0,4,0,0,0,0,0
"4a084e036450032b6591fc09933a68ba",0,0,0,0,0,0,0,367,0,0,0,0,0,134,0,0,0,0,0,844,322,0,0,0,0,0,0,0,185,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,886,0,0,0,0,0,0,0,0,0,0,0,0,0,438,0,0,67,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0
"5f4919d4e2683af76eba71c5e59f6134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,68,0,0,83,0,0,0,713,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,17,0,2005,0,0,0,0,228,0,0,0
