Feature ID	Taxon	Confidence
1ffa485801e7c294b1466aa79187e7df	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_725029	0.9525404576439525
c374f3bb3a0a878c3bc31d668fb73733	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_729055; g__Serratia_L_726994	0.9887691019352476
85bf030116b3e8a2518f892bed4a288f	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Mycobacteriaceae; g__Corynebacterium; s__Corynebacterium aurimucosum_F	0.766228162914735
bdb1fb31d1ac6cd27c373cf830db3f7d	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae; g__Acutalibacter; s__	0.9997998792609432
82a5debe5322e3c004232cb4aae446ce	d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella	0.9999992432382153
a87eb5c4757532698ab8544921136785	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_725029	0.8122917862490349
ed47d7c6bf3a4f1865015786228f479f	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Bifidobacteriaceae; g__Bifidobacterium_388775; s__Bifidobacterium breve	0.9951381692218378
331d67d7dd5951495d7e7d66c7f5dce9	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_725029	0.944713174355464
5fa388ca6db15ceffbb137708479a67b	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae_A_595421; g__Pelomonas	0.9816229038526144
6103006d221aa1f256b3859c1eddb8cd	d__Bacteria; p__Cyanobacteriota; c__Chloroplast; o__; f__; g__; s__	0.9421574053802407
bd67888d4a38d1d347f9dd1edb4aa99a	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Tissierellales; f__Peptoniphilaceae; g__Peptoniphilus_A	0.9999999997837531
0c1f5c8fd55682c528d9dad2b2d11755	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Lactobacillus iners	0.9999760281996959
ee7f85a9745e703f2412a4786504ab28	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Cellulomonadaceae	0.9418076726719349
1b36252be9e332187989f003d0087b0b	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Phocaeicola_A; s__Phocaeicola_A vulgatus	0.994973944833236
f3789de45b9d4d18d64e21bd27215b9d	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	0.9999994323175042
9efc0e8bdf920fbbdbeaf13ffdf8c701	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0.8997376425057756
86b91664fc0cd6c2383f5c8af44ba8a1	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000	0.9999976916573414
