sampleID,read_count,Lactobacillus_crispatus,Lactobacillus_iners,Lactobacillus_jensenii,Lactobacillus_gasseri,g_Megasphaera,Prevotella_amnii,Streptococcus_anginosus,Prevotella_bivia,Gardnerella_vaginalis,Aerococcus_christensenii,Prevotella_buccalis,Streptococcus_mitis,o_Clostridiales,Ureaplasma_parvum,g_Corynebacterium,Lactobacillus_vaginalis,Clostridium_perfringens,g_Dialister,Finegoldia_magna,f_Enterobacteriaceae,Peptoniphilus_harei,f_Lachnospiraceae,Veillonella_montpellierensis,Staphylococcus_epidermidis,o_Gemellales,f_Rs-045,g_Prevotella,f_Rs-045.1,Staphylococcus_haemolyticus,g_Gemella,Prevotella_disiens,g_Peptoniphilus,g_Anaerococcus,Prevotella_corporis,Campylobacter_ureolyticus,g_Finegoldia,Dialister_propionicifaciens,f_Coriobacteriaceae,Lactobacillus_coleohominis,Corynebacterium_pyruviciproducens,g_Veillonella,Corynebacterium_kroppenstedtii,Actinomyces_neuii,Prevotella_oris,Fusobacterium_nucleatum_subsp._animalis,g_Lactobacillus,Propionimicrobium_lymphophilum,Anaerococcus_hydrogenalis,Corynebacterium_thomssenii_sundsvallense,WAL_1855D,g_Mobiluncus,Peptoniphilus_lacrimalis,Sneathia_amnii_[NVP],Porphyromonas_somerae,g_Proteus,g_Parvimonas,Porphyromonas_bennonis,Prevotella_denticola,Corynebacterium_aurimucosum_nigricans,Facklamia_miroungae,Anaerococcus_tetradius,g_Sutterella,Corynebacterium_tuscaniense,Anaeroglobus_geminatus,g_Varibaculum,Enterococcus_faecalis,Actinomyces_oris,Propionibacterium_acnes,Peptoniphilus_sp._oral_taxon_375,Corynebacterium_imitans_lipophiloflavum,Mobiluncus_curtisii,Facklamia_ignava,Campylobacter_hominis,Eubacterium_rectale,Bacteroides_coagulans,Fastidiosipila_sanguinis,Anaerococcus_octavius,Brevibacterium_ravenspurgense,g_ph2,Alloscardovia_omnicolens,Atopobium_sp._oral_taxon_810,Peptostreptococcus_anaerobius,Granulicatella_adiacens,Peptoniphilus_indolicus,Actinomyces_europaeus,Prevotella_bergensis,Atopobium_parvulum,Streptococcus_salivarius,Jonquetella_anthropi,g_Actinobaculum,g_Streptococcus.1,g_Veillonella.1,Dialister_invisus,g_1-68,Actinobaculum_massiliense,g_Moryella,Bifidobacterium_breve,o_Actinomycetales,Anaerococcus_lactolyticus,Porphyromonas_uenonis,g_Mogibacterium,g_Gallicola,Corynebacterium_urealyticum,Ruminococcaceae_[G-1]_sp._oral_taxon_075,Actinomyces_radingae,g_Pyramidobacter,g_Atopobium,Varibaculum_cambriense,Lactobacillus_reuteri,Fusobacterium_gonidiaformans,g_Porphyromonas,Actinomyces_turicensis,Collinsella_aerofaciens,g_Dermabacter,f_[Mogibacteriaceae],g_Acidaminococcus,Bacteroidetes_[G-7]_sp._oral_taxon_911,g_Fusobacterium,Prevotella_histicola,f_Neisseriaceae,g_Ruminococcus,g_Helcococcus,g_Staphylococcus,Corynebacterium_simulans_striatum,g_Ureaplasma,Aerococcus_urinae,[Eubacterium]_biforme,Staphylococcus_aureus,Streptococcus_pseudopneumoniae,g_Arcanobacterium,Parvimonas_micra,Streptococcus_parasanguinis_II,g_Streptococcus,Peptostreptococcus_stomatis,Prevotella_melaninogenica,f_S24-7,Actinomyces_urogenitalis,I-A_sim,I-B_sim,II_sim,III-A_sim,III-B_sim,IV-A_sim,IV-B_sim,IV-C0_sim,IV-C1_sim,IV-C2_sim,IV-C3_sim,IV-C4_sim,V_sim,subCST,score,CST
M448MVAG,8634,8355,14,112,9,0,0,0,1,1,0,13,0,14,0,4,0,79,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9997195234482171,0.9090585612829056,0.004870215122268506,0.002660676872969538,0.09951623573197958,0.001397972282013956,0.010106385484180922,0.04115566125879897,0.006297891440878853,0.026484906216168697,0.0025116916179916396,0.006835457376347175,0.03210999151432053,I-A,0.9997195234482171,I
M450MVAG,8634,76,8032,9,0,346,0,10,8,0,3,0,57,3,47,12,0,0,0,9,0,2,0,3,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007225156312619822,0.048371568662847884,0.04647045764924558,0.9962051235894417,0.8174155182829834,0.05647998836029857,0.11733141346898648,0.07668485081624854,0.017626654624837576,0.012003701897585504,0.0009833019367262207,0.12284029364753338,0.24010099908029797,III-A,0.9962051235894417,III
M451MVAG,8634,84,8545,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0074108967676677585,0.047694087802251296,0.04548202944215986,0.9914261087074338,0.783295596969308,0.05124799206270551,0.11009287674323734,0.07202686874013665,0.017266895431567716,0.011686039345064644,0.0009383262589661641,0.11849423495317818,0.23165142690633805,III-A,0.9914261087074338,III
M452MVAG,8634,8490,49,17,0,0,0,1,0,0,0,1,0,2,0,0,66,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999134443983699,0.9005548813949295,0.004483630695916598,0.004519842951096158,0.10075185114840998,0.0015441379048728113,0.01032140345148857,0.04073587625802671,0.006301943440449528,0.026329119369267944,0.002480694472685642,0.0071409188660155175,0.0278936868994264,I-A,0.999134443983699,I
M453MVAG,8634,8334,66,7,9,0,0,0,5,0,0,19,3,12,0,11,21,68,3,0,0,0,0,0,1,19,0,13,0,0,0,2,1,0,7,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,6,3,3,0,0,0,0,0,3,3,0,0,0,0,1,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9996940078859408,0.9101089076954858,0.005110932667796203,0.005592157464833578,0.10273749197344278,0.001743768894757734,0.010711406652293809,0.041653414316314794,0.0063895119640820786,0.02654475563615368,0.0025110553130482205,0.007452076028737318,0.02811477498452372,I-A,0.9996940078859408,I
M454MVAG,8634,7362,1068,32,0,10,1,0,0,0,0,7,9,6,16,2,6,89,0,0,0,0,1,0,0,4,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9697673861104501,0.9602377897348843,0.010983366214640215,0.07906686764736136,0.1885302690270424,0.00924407268673892,0.026885353475573037,0.05717584434279509,0.008945644412786485,0.028869652163472297,0.002689992965468219,0.02372802790756208,0.060213323935571765,I-A,0.9697673861104501,I
M455MVAG,8634,7769,153,449,15,0,0,0,0,0,0,32,7,4,8,8,50,0,0,0,0,0,2,0,3,14,0,3,0,1,0,1,0,0,28,1,4,12,0,0,0,0,0,0,0,17,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,5,0,0,6,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9936811113531054,0.9454346765604359,0.006328158151821591,0.012524983558439,0.11319564170910885,0.0024268038493416785,0.012693786523164765,0.04573946354650309,0.006828682543343521,0.02743558411139852,0.002641146490218397,0.009379742326096618,0.05671154893549472,I-A,0.9936811113531054,I
M456MVAG,8634,8573,37,0,0,0,0,0,0,0,0,0,1,0,0,2,11,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9985604532163692,0.8951620666635323,0.004393481219543388,0.0037524251394556404,0.09949090018942526,0.0014604072336953497,0.010089090882442628,0.04020909404938643,0.006247586255605227,0.026210002932189634,0.0024645315212992714,0.0069332302735254535,0.026644485854919717,I-A,0.9985604532163692,I
M457MVAG,8634,8591,7,5,5,0,0,0,2,0,0,5,0,0,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9984054483489667,0.8936563811490151,0.0045075391534447895,0.002011081505535503,0.09756152710579469,0.0012889933646538319,0.009728636187981496,0.03990590340966477,0.00619119612136789,0.026158252208469183,0.0024662455592429733,0.006558588730860749,0.02618169026370156,I-A,0.9984054483489667,I
M458MVAG,8634,6759,818,9,11,533,4,16,47,12,2,27,42,13,27,9,0,0,0,2,0,0,0,0,0,0,0,262,0,0,0,0,0,0,3,3,0,16,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9449035837286773,0.9770339509289901,0.010981647574575999,0.06480668828344807,0.17836272284305135,0.015581618521494858,0.029757754865921707,0.06078875484995276,0.008761237483806611,0.02927910962745523,0.002849035673110832,0.02185165725081557,0.0553128449233318,I-B,0.9770339509289901,I
